APT,Country
APT 36,Pakistan
APT 28,Russia
APT 34,Iran
APT 17,China
Lazarus Group,North Korea
APT 35,Iran
DarkHotel,South Korea
Lotus Blossom,China
APT 40,China
APT 41,China
Gamaredon,Russia
Turla,Russia
Konni Group,North Korea
APT-C-23,Palestine
KINGDOM,Saudi Arabia
Storm Cloud,China
Tonto Team,China
APT 33,Iran
APT 32,Vietnam
APT 3,China
APT 26,China
APT 5,China
APT 29,Russia
Mabna Institute,Iran
Poison Carp,China
Bronze President,China
APT 20,China
APT 10,China
Thallium,North Korea
Sandworm,Russia
BlackEnergy,Russia
Rancor,China
Crouching Yeti,China
malware by NSO Group,Israel
Dragonfly,Russia
DragonOK,China
Dutu 2.0,Israel
MuddyWater,Iran
Lamberts,United States
FinFisher Gamma,Indonesia
Strider,United States
APT 16,China
APT 27,China
Saffron Rose,Iran
APT 19,China
